Date,Cumul,Quotidien - semaine,Quotidien - week-end,Quotidien - férié
,,,,
,,,,
12/03/2020,1536,1536,,
13/03/2020,3209,1673,,
14/03/2020,4442,,1233,
15/03/2020,5083,,641,
16/03/2020,6029,946,,
17/03/2020,6588,559,,
18/03/2020,7196,608,,
19/03/2020,7666,470,,
20/03/2020,8028,362,,
21/03/2020,8296,,268,
22/03/2020,8472,,176,
23/03/2020,8806,334,,
24/03/2020,9098,292,,
25/03/2020,9416,318,,
26/03/2020,9751,335,,
27/03/2020,10109,358,,
28/03/2020,10368,,259,
29/03/2020,10534,,166,
30/03/2020,10891,357,,
31/03/2020,11225,334,,
01/04/2020,11555,330,,
02/04/2020,11929,374,,
03/04/2020,12326,397,,
04/04/2020,12633,,307,
05/04/2020,12838,,205,
06/04/2020,13226,388,,
07/04/2020,13609,383,,
08/04/2020,14000,391,,
09/04/2020,14406,406,,
10/04/2020,14826,420,,
11/04/2020,15119,,293,
12/04/2020,15358,,239,
13/04/2020,15544,,,186
14/04/2020,15958,414,,
15/04/2020,16360,402,,
16/04/2020,16786,426,,
17/04/2020,17231,445,,
18/04/2020,17569,,338,
19/04/2020,17723,,154,
20/04/2020,17932,209,,
21/04/2020,18116,184,,
22/04/2020,18414,298,,
23/04/2020,18920,506,,
24/04/2020,19418,498,,
25/04/2020,19821,,403,
26/04/2020,20167,,346,
27/04/2020,20582,415,,
28/04/2020,21030,448,,
29/04/2020,21591,561,,
30/04/2020,22087,496,,
01/05/2020,22507,,,420
02/05/2020,23031,,524,
03/05/2020,23443,,412,
04/05/2020,24018,575,,
05/05/2020,24669,651,,
06/05/2020,25365,696,,
07/05/2020,25982,617,,
08/05/2020,26474,,,492
09/05/2020,26979,,505,
10/05/2020,27121,,142,
11/05/2020,27601,480,,
12/05/2020,28699,1098,,
13/05/2020,29565,866,,
14/05/2020,30418,853,,
15/05/2020,31546,1128,,
16/05/2020,32412,,866,
17/05/2020,33381,,969,
18/05/2020,34504,1123,,
19/05/2020,35880,1376,,
20/05/2020,37166,1286,,
21/05/2020,38152,,,986
22/05/2020,39262,1110,,
23/05/2020,40183,,921,
24/05/2020,40936,,753,
25/05/2020,42139,1203,,
26/05/2020,43522,1383,,
27/05/2020,44866,1344,,
28/05/2020,46355,1489,,
29/05/2020,47800,1445,,
30/05/2020,48910,,1110,
31/05/2020,49766,,856,
01/06/2020,50606,,,840
02/06/2020,52213,1607,,
03/06/2020,53726,1513,,
04/06/2020,54929,1203,,
05/06/2020,56394,1465,,
06/06/2020,57596,,1202,
07/06/2020,58314,,718,
08/06/2020,59839,1525,,
09/06/2020,61298,1459,,
10/06/2020,62869,1571,,
11/06/2020,64351,1482,,
12/06/2020,65203,852,,
13/06/2020,66190,,987,
14/06/2020,67165,,975,
15/06/2020,68797,1632,,
16/06/2020,70695,1898,,
17/06/2020,72450,1755,,
18/06/2020,74193,1743,,
19/06/2020,75810,1617,,
20/06/2020,76892,,1082,
21/06/2020,77745,,853,
22/06/2020,79384,1639,,
23/06/2020,81151,1767,,
24/06/2020,82802,1651,,
25/06/2020,84602,1800,,
26/06/2020,86351,1749,,
27/06/2020,87437,,1086,
28/06/2020,88380,,943,
