Date;Heure;Total depuis la mise en service
12/03/2020;11:05:00;109
12/03/2020;14:30:00;441
13/03/2020;10:02:00;1921
13/03/2020;14:15:00;2305
13/03/2020;18:21:00;2822
13/03/2020;18:25:00;2834
14/03/2020;16:26:43;3951
15/03/2020;09:05:50;4492
15/03/2020;09:53:00;4512
15/03/2020;11:25:00;4567
15/03/2020;14:25:00;4710
15/03/2020;15:37:00;4825
15/03/2020;20:30:00;5008
16/03/2020;06:57:00;5097
16/03/2020;08:12:00;5157
16/03/2020;08:24:00;5176
16/03/2020;11:19:00;5348
16/03/2020;17:42:00;5748
16/03/2020;18:12:00;5788
16/03/2020;18:53:00;5836
16/03/2020;21:14:00;5958
16/03/2020;22:15:00;6010
17/03/2020;08:00:00;6069
17/03/2020;08:39:00;6109
17/03/2020;08:51:00;6129
17/03/2020;10:50:00;6216
17/03/2020;11:02:00;6229
17/03/2020;11:18:00;6249
17/03/2020;11:41:00;6286
17/03/2020;12:10:00;6319
17/03/2020;15:28:00;6401
17/03/2020;19:22:00;6539
18/03/2020;08:01:00;6614
18/03/2020;12:12:00;6729
18/03/2020;19:30:00;7052
18/03/2020;19:52:00;7064
18/03/2020;20:07:00;7078
18/03/2020;22:00:00;7188
19/03/2020;07:33:00;7208
19/03/2020;13:32:00;7380
19/03/2020;19:05:00;7592
19/03/2020;19:16:00;7601
19/03/2020;19:34:00;7612
20/03/2020;08:03:00;7689
20/03/2020;15:18:00;7851
20/03/2020;18:41:00;7953
20/03/2020;19:04:00;7966
21/03/2020;12:00:00;8106
21/03/2020;20:04:00;8258
22/03/2020;10:18:00;8317
22/03/2020;15:34:00;8380
22/03/2020;18:46:00;8432
23/03/2020;08:14:00;8517
23/03/2020;14:55:00;8648
23/03/2020;15:49:00;8664
23/03/2020;17:36:00;8705
23/03/2020;19:42:00;8778
24/03/2020;07:47:00;8826
24/03/2020;09:11:00;8864
24/03/2020;17:07:00;8989
24/03/2020;18:15:00;9018
24/03/2020;19:05:00;9047
25/03/2020;08:27:00;9136
25/03/2020;16:41:00;9298
25/03/2020;18:17:00;9344
25/03/2020;18:34:00;9356
25/03/2020;18:52:00;9362
25/03/2020;19:33:00;9385
26/03/2020;07:59:00;9432
26/03/2020;16:39:00;9592
26/03/2020;19:08:00;9687
26/03/2020;19:22:00;9694
26/03/2020;20:01:00;9713
26/03/2020;20:12:00;9720
27/03/2020;08:43:00;9795
27/03/2020;16:46:00;9963
27/03/2020;17:06:00;9977
27/03/2020;17:31:00;9990
27/03/2020;17:35:00;9992
27/03/2020;17:41:00;9999
27/03/2020;17:57:00;10008
27/03/2020;18:12:00;10016
27/03/2020;19:36:00;10075
28/03/2020;08:42:00;10122
28/03/2020;13:43:00;10218
28/03/2020;16:52:00;10274
28/03/2020;19:12:00;10325
28/03/2020;19:16:00;10327
28/03/2020;19:50:00;10340
29/03/2020;15:41:00;10441
29/03/2020;20:12:00;10515
30/03/2020;08:25:00;10567
30/03/2020;13:47:00;10665
30/03/2020;15:47:00;10715
30/03/2020;18:18:00;10797
31/03/2020;08:41:00;10938
31/03/2020;10:34:00;10970
31/03/2020;19:07:00;11162
31/03/2020;19:24:00;11173
01/04/2020;18:10:00;11462
01/04/2020;19:04:00;11494
02/04/2020;08:40:00;11599
02/04/2020;12:34:00;11675
02/04/2020;13:58:00;11700
02/04/2020;14:50:00;11718
02/04/2020;16:00:00;11767
02/04/2020;18:57:00;11855
02/04/2020;19:14:00;11868
03/04/2020;09:44:00;12009
03/04/2020;17:27:00;12178
03/04/2020;19:53:00;12292
04/04/2020;11:55:00;12404
04/04/2020;14:26:00;12452
04/04/2020;18:51:00;12567
04/04/2020;19:37:00;12599
05/04/2020;10:53:00;12663
05/04/2020;12:59:00;12698
05/04/2020;17:29:00;12748
05/04/2020;22:06:00;12836
06/04/2020;06:28:00;12845
06/04/2020;08:11:00;12866
06/04/2020;08:11:00;12866
06/04/2020;11:27:00;12932
06/04/2020;17:58:00;13111
06/04/2020;19:10:00;13152
07/04/2020;08:15:00;13256
07/04/2020;11:57:00;13346
07/04/2020;12:46:00;13368
07/04/2020;13:23:00;13379
07/04/2020;18:19:00;13521
08/04/2020;08:18:00;13644
08/04/2020;12:29:00;13743
08/04/2020;13:54:00;13780
08/04/2020;17:31:00;13858
08/04/2020;18:26:00;13897
08/04/2020;20:49:00;13990
09/04/2020;08:23:00;14038
09/04/2020;11:33:00;14098
09/04/2020;17:55:00;14275
09/04/2020;18:58:00;14327
09/04/2020;19:20:00;14345
10/04/2020;18:07:00;14714
11/04/2020;09:50:00;14854
11/04/2020;11:28:00;14886
11/04/2020;16:30:00;14984
11/04/2020;18:27:00;15047
11/04/2020;20:28:00;15101
12/04/2020;10:11:00;15152
12/04/2020;12:28:00;15196
12/04/2020;12:42:00;15200
12/04/2020;18:10:00;15286
13/04/2020;12:28:00;15425
13/04/2020;18:16:00;15497
14/04/2020;07:39:00;15555
14/04/2020;10:27:00;15626
14/04/2020;11:16:00;15642
14/04/2020;19:53:00;15917
14/04/2020;19:58:00;15920
15/04/2020;13:24:00;16117
15/04/2020;18:42:00;16271
15/04/2020;19:25:00;16302
15/04/2020;20:07:00;16333
16/04/2020;08:26:00;16404
16/04/2020;11:32:00;16492
16/04/2020;14:21:00;16562
16/04/2020;20:57:00;16776
17/04/2020;09:35:00;16867
17/04/2020;09:41:00;16869
17/04/2020;14:49:00;17002
17/04/2020;19:04:00;17143
17/04/2020;20:36:00;17205
18/04/2020;09:17:00;17254
18/04/2020;11:22:00;17298
18/04/2020;12:50:00;17342
18/04/2020;20:52:00;17555
18/04/2020;21:22:00;17563
19/04/2020;10:45:00;17593
19/04/2020;11:10:00;17596
19/04/2020;20:13:00;17711
20/04/2020;12:24:00;17796
20/04/2020;14:41:00;17833
20/04/2020;16:21:00;17850
20/04/2020;16:41:00;17852
20/04/2020;18:27:00;17887
20/04/2020;19:28:00;17902
21/04/2020;07:29:00;17938
21/04/2020;12:43:00;17997
21/04/2020;18:30:00;18058
21/04/2020;20:30:00;18108
22/04/2020;13:48:00;18214
22/04/2020;14:20:00;18229
22/04/2020;14:20:00;18229
22/04/2020;15:19:00;18255
22/04/2020;18:29:00;18349
22/04/2020;20:56:00;18405
22/04/2020;21:24:00;18408
23/04/2020;08:30:00;18450
23/04/2020;08:30:00;18450
23/04/2020;11:41:00;18515
23/04/2020;11:41:00;18515
23/04/2020;11:42:00;18516
23/04/2020;19:47:00;18840
23/04/2020;19:47:00;18839
24/04/2020;12:58:00;19091
24/04/2020;14:04:00;19126
24/04/2020;20:00:00;19373
24/04/2020;20:33:00;19390
25/04/2020;09:48:00;19455
25/04/2020;12:46:00;19531
25/04/2020;12:49:00;19539
25/04/2020;14:30:00;19579
25/04/2020;19:39:00;19744
25/04/2020;20:32:00;19781
25/04/2020;20:42:00;19786
25/04/2020;21:23:00;19801
26/04/2020;11:00:00;19871
26/04/2020;13:07:00;19917
26/04/2020;13:56:00;19942
26/04/2020;15:43:00;19984
26/04/2020;21:06:00;20149
27/04/2020;06:31:00;20175
27/04/2020;11:53:00;20278
27/04/2020;12:54:00;20297
27/04/2020;18:57:00;20503
28/04/2020;10:48:00;20663
28/04/2020;18:34:00;20926
28/04/2020;21:28:00;21021
29/04/2020;11:17:00;21152
29/04/2020;20:09:00;21526
30/04/2020;08:40:00;21647
30/04/2020;11:29:00;21717
30/04/2020;13:30:00;21776
30/04/2020;15:45:00;21846
30/04/2020;16:13:00;21862
30/04/2020;18:17:00;21947
30/04/2020;19:10:00;21987
30/04/2020;20:19:00;22040
01/05/2020;05:06:00;22088
01/05/2020;06:42:00;22094
01/05/2020;07:40:00;22100
01/05/2020;14:30:00;22246
02/05/2020;09:31:00;22546
02/05/2020;13:54:00;22708
02/05/2020;21:54:00;23017
03/05/2020;11:19:00;23113
03/05/2020;16:18:00;23249
03/05/2020;19:32:00;23382
04/05/2020;09:56:00;23570
04/05/2020;13:33:00;23672
04/05/2020;19:20:00;23928
05/05/2020;07:27:00;24041
05/05/2020;09:55:00;24151
05/05/2020;13:48:00;24282
05/05/2020;14:09:00;24294
05/05/2020;17:59:00;24492
06/05/2020;08:26:00;24727
06/05/2020;11:28:00;24838
06/05/2020;19:52:00;25275
07/05/2020;18:16:00;25831
08/05/2020;09:24:00;26023
08/05/2020;09:44:00;26033
08/05/2020;12:32:00;26100
08/05/2020;19:48:00;26396
08/05/2020;22:25:00;26470
09/05/2020;11:59:00;26640
09/05/2020;18:44:00;26860
10/05/2020;08:14:00;27009
10/05/2020;10:12:00;27026
10/05/2020;15:20:00;27059
10/05/2020;18:58:00;27078
10/05/2020;20:03:00;27092
11/05/2020;06:36:00;27130
11/05/2020;10:28:00;27230
11/05/2020;10:55:00;27239
11/05/2020;13:22:00;27284
11/05/2020;13:51:00;27290
11/05/2020;19:25:00;27508
11/05/2020;20:04:00;27541
11/05/2020;20:57:00;27572
11/05/2020;21:08:00;27574
12/05/2020;08:37:00;27697
12/05/2020;11:07:00;27814
12/05/2020;19:09:00;28489
12/05/2020;20:00:00;28577
12/05/2020;20:32:00;28601
12/05/2020;21:09:00;28620
12/05/2020;21:56:00;28645
13/05/2020;05:04:00;28708
13/05/2020;05:25:00;28719
13/05/2020;11:02:00;28901
13/05/2020;12:08:00;28958
13/05/2020;16:49:00;29215
13/05/2020;18:02:00;29299
13/05/2020;18:18:00;29321
13/05/2020;18:46:00;29361
13/05/2020;19:20:00;29407
13/05/2020;20:02:00;29445
14/05/2020;09:14:00;29704
14/05/2020;14:29:00;30000
14/05/2020;18:36:00;30321
14/05/2020;19:07:00;30341
14/05/2020;19:20:00;30357
15/05/2020;13:05:00;30763
15/05/2020;16:51:00;31014
15/05/2020;19:29:00;31332
15/05/2020;21:58:00;31482
16/05/2020;10:30:00;31668
16/05/2020;13:11:00;31854
16/05/2020;16:20:00;32048
16/05/2020;23:46:00;32394
17/05/2020;06:31:00;32436
17/05/2020;13:30:00;32724
17/05/2020;17:35:00;33037
17/05/2020;21:18:00;33320
17/05/2020;22:01:00;33343
18/05/2020;06:31:00;33389
18/05/2020;11:54:00;33702
18/05/2020;12:44:00;33745
18/05/2020;17:58:00;34148
18/05/2020;18:17:00;34185
18/05/2020;19:48:00;34356
18/05/2020;20:13:00;34382
18/05/2020;22:29:00;34471
19/05/2020;04:54:00;34511
19/05/2020;04:58:00;34512
19/05/2020;09:25:00;34742
19/05/2020;12:50:00;34966
