idx_new,new_full_species,key_to_merge,n_repeat,new_author,new_species,new_epithet,Unmatched_terms,new_genus,iucn_status
0,Lactuca virosa L.,"['1355868', '1432783']",2,L.,Lactuca virosa,virosa,,Lactuca,DD
1,Pelargonium capitatum (L.) L'Hér.,['1355920'],1,(L.) L'Hér.,Pelargonium capitatum,capitatum,,Pelargonium,Not assessed
2,Pelargonium graveolens L'Hér.,"['1355932', '1408468']",2,L'Hér.,Pelargonium graveolens,graveolens,,Pelargonium,Not assessed
3,Cirsium arvense (L.) Scop.,['1355936'],1,(L.) Scop.,Cirsium arvense,arvense,,Cirsium,Not assessed
4,Cirsium vulgare (Savi) Ten.,['1355937'],1,(Savi) Ten.,Cirsium vulgare,vulgare,,Cirsium,Not assessed
5,Pelargonium odoratissimum (L.) L'Hér.,['1355955'],1,(L.) L'Hér.,Pelargonium odoratissimum,odoratissimum,,Pelargonium,Not assessed
6,Pelargonium peltatum (L.) L'Hér.,"['1355959', '1394455']",2,(L.) L'Hér.,Pelargonium peltatum,peltatum,,Pelargonium,Not assessed
7,Pelargonium quercifolium (L.f.) L'Hér.,['1355961'],1,(L.f.) L'Hér.,Pelargonium quercifolium,quercifolium,,Pelargonium,Not assessed
8,Pelargonium zonale (L.) L'Hér.,"['1355978', '1435714']",2,(L.) L'Hér.,Pelargonium zonale,zonale,,Pelargonium,Not assessed
9,Mercurialis annua L.,"['1355990', '1393818']",2,L.,Mercurialis annua,annua,,Mercurialis,Not assessed
10,Phyllanthus tenellus Roxb.,['1356003'],1,Roxb.,Phyllanthus tenellus,tenellus,,Phyllanthus,Not assessed
11,Hypericum perforatum L.,['1356022'],1,L.,Hypericum perforatum,perforatum,,Hypericum,LC
12,Elodea densa (Planch.) Casp.,['1356037'],1,(Planch.) Casp.,Elodea densa,densa,,Elodea,Not assessed
13,Ibicella lutea (Lindl.) Van Eselt.,['1356055'],1,(Lindl.) Van Eselt.,Ibicella lutea,lutea,,Ibicella,Not assessed
14,Tradescantia fluminensis Vell.,['1356075'],1,Vell.,Tradescantia fluminensis,fluminensis,,Tradescantia,Not assessed
15,Tradescantia zebrina Bosse,"['1356076', '1398178', '1422105']",3,Bosse,Tradescantia zebrina,zebrina,,Tradescantia,Not assessed
16,Lamium amplexicaule L.,['1356111'],1,L.,Lamium amplexicaule,amplexicaule,,Lamium,Not assessed
17,Lavandula dentata L.,['1356126'],1,L.,Lavandula dentata,dentata,,Lavandula,Not assessed
18,Striga asiatica (L.) Kuntze,['1356138'],1,(L.) Kuntze,Striga asiatica,asiatica,,Striga,Not assessed
19,Melilotus albus Medik.,['1356257'],1,Medik.,Melilotus albus,albus,,Melilotus,LC
20,Trifolium fragiferum L.,['1356278'],1,L.,Trifolium fragiferum,fragiferum,,Trifolium,Not assessed
21,Asystasia gangetica (L.) T.Anderson,"['1356279', '1405641']",2,(L.) T.Anderson,Asystasia gangetica,gangetica,,Asystasia,Not assessed
22,Nymphaea nouchali Burm.f.,"['1356309', '1409296']",2,Burm.f.,Nymphaea nouchali,nouchali,,Nymphaea,LC
23,Dryopteris aemula (Aiton) Kuntze,['1356379'],1,(Aiton) Kuntze,Dryopteris aemula,aemula,,Dryopteris,LC
