image,counts,directory,species,genus,genus_counts,genus_counts_sum,iucn_status,new_idx
tiny_plantnet300k/203/8af5c1790935598cd896b692523bcfafdb1f15f2.jpg,7208,203,Daucus carota L.,Daucus,3,7227,LC,0
tiny_plantnet300k/61/68372d0cff2be07d94d7425ea861e8839ef799f7.jpg,6857,61,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria,1,6857,Not assessed,1
tiny_plantnet300k/11/659971eb0b00e34ebf38f47484f5613a8c113888.jpg,6140,11,Hypericum perforatum L.,Hypericum,37,11946,LC,2
tiny_plantnet300k/239/22586d417cccd33d1cf0f0afbc1be44f18d79593.jpg,5334,239,Valeriana rubra L.,Valeriana,6,5645,Not assessed,3
tiny_plantnet300k/4/cdf34c25cd9c46c864e47e3a447fcc9d2f415ca9.jpg,5178,4,Cirsium vulgare (Savi) Ten.,Cirsium,23,11272,Not assessed,4
tiny_plantnet300k/112/28fa49f2efba90006c7ca9da7edc2cc3a1e668ce.jpg,5063,112,Trifolium pratense L.,Trifolium,39,14622,LC,5
tiny_plantnet300k/35/a5befc6bf662d898e536ae7b7cfdd28ce59390d8.jpg,4837,35,Calendula officinalis L.,Calendula,3,5947,Not assessed,6
tiny_plantnet300k/84/37e2c11152c31c87c750a5c6f5f2959d3799ff03.jpg,4502,84,Lamium purpureum L.,Lamium,10,12379,Not assessed,7
tiny_plantnet300k/123/c93422160a1de3ba0346fc0f8e8bea30e61dec6c.jpg,4285,123,Alcea rosea L.,Alcea,3,4368,Not assessed,8
tiny_plantnet300k/200/22d1e41232378c4d223085a9c7056b3aa1f14976.jpg,4005,200,Papaver rhoeas L.,Papaver,7,7858,LC,9
tiny_plantnet300k/237/b72b92036cca64c62b62db9329f67d0dd4609d57.jpg,3862,237,Fragaria vesca L.,Fragaria,7,4540,LC,10
tiny_plantnet300k/3/4fca795dea031b974e79faaf2cdc2d5c2d4953f1.jpg,3419,3,Cirsium arvense (L.) Scop.,Cirsium,23,11272,Not assessed,11
tiny_plantnet300k/471/d7adfd7d36a2f523b9bde4967f1451c2f12e6fe6.jpg,3388,471,Anemonoides nemorosa (L.) Holub,Anemonoides,7,4986,Not assessed,12
tiny_plantnet300k/225/7f11f1f60cfb6e0b9c5faf6aebfe2840f9297d2a.jpg,3353,225,Trifolium repens L.,Trifolium,39,14622,LC,13
tiny_plantnet300k/242/8a12a942839587a45c046c266e89564c3fe68d03.jpg,3337,242,Tagetes erecta L.,Tagetes,6,3523,Not assessed,14
tiny_plantnet300k/484/f3eb62e48505d8cc3bc07973983ae22c1d60d778.jpg,3262,484,Pyracantha coccinea M.Roem.,Pyracantha,3,3318,Not assessed,15
tiny_plantnet300k/247/1b9159e2dc1891c2502fb1cd8620469957ae675f.jpg,3031,247,Lactuca serriola L.,Lactuca,11,5511,LC,16
tiny_plantnet300k/122/cad05a839eb938dbc747b1d3571346ae1b777bb7.jpg,2811,122,Punica granatum L.,Punica,1,2811,LC,17
tiny_plantnet300k/244/ab09f90cbec6350845a3221630de8d98d941858f.jpg,2788,244,Lapsana communis L.,Lapsana,1,2788,Not assessed,18
tiny_plantnet300k/172/354ba6628f107eac92a733655aa4089d2f4f78aa.jpg,2739,172,Lavandula angustifolia Mill.,Lavandula,10,5453,LC,19
tiny_plantnet300k/171/dde89f1cd7243ace928e8c628faa139594d6e43c.jpg,2738,171,Lamium galeobdolon (L.) L.,Lamium,10,12379,Not assessed,20
tiny_plantnet300k/522/9e7f6e6e8ef2f965a784a8f51a1fc986e2b9753e.jpg,2708,522,"Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.",Cymbalaria,3,2721,Not assessed,21
tiny_plantnet300k/8/4dc48a3bc7574b0000e3635fe70ffda41fc05fb9.jpg,2653,8,Pelargonium zonale (L.) L'Hér.,Pelargonium,18,6170,Not assessed,22
tiny_plantnet300k/47/06a5b3d7fbda6a97b69c0414454dfd601b274b42.jpg,2468,47,Sedum album L.,Sedum,49,10171,Not assessed,23
tiny_plantnet300k/202/0144d8047f15938abdaa0e2d79b4fadc2cc993e2.jpg,2448,202,Papaver somniferum L.,Papaver,7,7858,LC,24
tiny_plantnet300k/338/1525bfca206a2ccf89ec3c34fa38c50178c643c2.jpg,2385,338,Aegopodium podagraria L.,Aegopodium,1,2385,Not assessed,25
tiny_plantnet300k/262/ac7d84a4978be9832fac84d5fc4a5687cbe25384.jpg,2245,262,Lupinus polyphyllus Lindl.,Lupinus,20,3194,LC,26
tiny_plantnet300k/675/34d587384f1f2e2c37ace2c936d21528dc734860.jpg,2241,675,Anthurium andraeanum Linden ex André,Anthurium,12,2404,Not assessed,27
tiny_plantnet300k/512/101a9483817470c902af6ca9b6c2b9c3cfebfd28.jpg,2200,512,Eriocapitella hupehensis (É.Lemoine) Christenh. & Byng,Eriocapitella,4,2257,Not assessed,28
